150,Jo,Fowler,jo.fowler@sakilacustomer.org,254,TRUE,2/14/2006,49:45.7,1
151,Vickie,Brewer,vickie.brewer@sakilacustomer.org,255,TRUE,2/14/2006,49:45.7,1
152,Mattie,Hoffman,mattie.hoffman@sakilacustomer.org,256,TRUE,2/14/2006,49:45.7,1
153,Terry,Carlson,terry.carlson@sakilacustomer.org,258,TRUE,2/14/2006,49:45.7,1
154,Maxine,Silva,maxine.silva@sakilacustomer.org,259,TRUE,2/14/2006,49:45.7,1
155,Irma,Pearson,irma.pearson@sakilacustomer.org,260,TRUE,2/14/2006,49:45.7,1
156,Mabel,Holland,mabel.holland@sakilacustomer.org,261,TRUE,2/14/2006,49:45.7,1
157,Marsha,Douglas,marsha.douglas@sakilacustomer.org,262,TRUE,2/14/2006,49:45.7,1
158,Myrtle,Fleming,myrtle.fleming@sakilacustomer.org,263,TRUE,2/14/2006,49:45.7,1
159,Lena,Jensen,lena.jensen@sakilacustomer.org,264,TRUE,2/14/2006,49:45.7,1
